CensusTract,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP,zip,Shortage_PF
42003140400,1,2306,948,0,0,0,0,0,0,0,0,0,5.8,197292,0,1,0,1,0,0,0,0,295,509,360,2094,55,95,0,8,54,62,50,11,15208,0.205954801
42003140500,1,2054,1039,0,15,0.73,0,0,0,0,0,0,15.1,84821,0,1,0,1,0,0,0,0,416,330,282,721,1137,64,0,7,125,69,126,72,15208,0.205954801
42003140600,1,3002,1410,0,17,0.57,0,0,0,0,0,0,10,119444,0,1,0,1,0,0,0,0,534,564,388,2637,191,83,2,1,88,75,158,59,15208,0.205954801
42003561200,1,1333,583,0,16,1.2,0,0,0,0,0,1,34.8,35667,0,0,0,0,0,0,0,0,857,305,214,83,1169,7,1,17,56,27,195,291,15208,0.205954801
42003130100,1,1910,765,0,0,0,0,1,0,1,1,1,69.7,20000,0,1,0,1,0,0,0,1,1339,604,242,47,1769,2,0,9,83,36,411,437,15221,0.148844452
42003130400,1,1191,487,0,3,0.25,0,0,0,0,0,1,48.2,27500,0,0,0,0,0,0,0,0,643,382,177,21,1137,5,0,7,21,9,186,142,15221,0.148844452
42003130600,1,3169,1318,0,0,0,0,1,0,1,1,1,42.7,36488,0,1,0,1,0,0,0,1,1615,1025,470,65,2953,14,2,18,117,37,732,721,15221,0.148844452
42003140500,1,2054,1039,0,15,0.73,0,0,0,0,0,0,15.1,84821,0,1,0,1,0,0,0,0,416,330,282,721,1137,64,0,7,125,69,126,72,15221,0.148844452
42003140600,1,3002,1410,0,17,0.57,0,0,0,0,0,0,10,119444,0,1,0,1,0,0,0,0,534,564,388,2637,191,83,2,1,88,75,158,59,15221,0.148844452
42003141000,1,928,456,0,0,0,0,0,0,0,0,0,1.2,130000,0,1,0,1,0,0,0,0,54,151,136,857,17,29,1,1,23,23,22,4,15221,0.148844452
42003512000,1,2317,1066,0,0,0,1,1,1,0,0,1,21.2,51210,1,1,1,1,1,0,0,0,1132,445,422,1704,541,5,0,1,66,22,115,270,15221,0.148844452
42003515401,1,2266,1097,0,0,0,0,0,0,0,0,0,10.7,87361,0,0,0,0,0,0,0,0,561,418,296,1799,337,70,0,0,60,64,166,70,15221,0.148844452
42003516100,1,1392,722,0,0,0,0,0,0,0,0,0,3.9,113750,0,1,0,1,0,0,0,0,158,225,160,1280,48,34,0,1,29,32,28,16,15221,0.148844452
42003516200,1,1726,857,0,0,0,0,0,0,0,0,0,7.8,108125,0,1,0,1,0,0,0,0,340,299,229,1373,242,47,2,9,53,52,73,32,15221,0.148844452
42003517000,1,1880,1016,0,2,0.11,0,1,0,0,0,1,23.2,59306,0,1,0,1,0,0,0,0,735,313,463,1295,525,6,0,5,49,26,315,372,15221,0.148844452
42003518001,1,3391,1578,0,0,0,0,0,0,0,0,0,3.7,105284,1,1,1,1,1,0,0,0,246,595,739,3075,218,47,1,3,47,37,91,35,15221,0.148844452
42003519000,1,3011,1363,0,0,0,0,0,0,0,0,0,3.1,105313,1,1,1,1,1,0,0,0,345,440,774,2465,417,80,0,0,49,54,13,10,15221,0.148844452
42003520002,1,3128,1570,0,0,0,0,0,0,0,0,0,4.7,67125,0,1,0,1,0,0,0,0,817,535,590,2638,365,26,0,10,89,42,49,107,15221,0.148844452
42003523100,1,4194,1723,0,0,0,1,1,1,1,1,1,20.3,56000,1,1,1,1,1,0,0,1,1243,942,788,418,3596,1,0,15,164,48,131,352,15221,0.148844452
42003560400,1,1559,843,0,169,10.84,0,0,0,0,0,1,25.7,51500,0,0,0,0,0,0,0,0,834,228,234,407,1064,17,0,2,69,24,362,160,15221,0.148844452
42003560500,1,2176,1237,0,0,0,0,0,0,0,0,0,10.2,122337,0,1,0,1,0,0,0,0,407,245,213,1670,363,57,1,7,78,36,57,53,15221,0.148844452
42003560600,1,1074,570,0,19,1.77,0,0,0,0,0,1,41.9,35170,0,0,0,0,0,0,0,0,512,207,144,235,777,1,0,4,57,29,340,282,15221,0.148844452
42003561000,1,1559,629,0,73,4.68,0,1,0,1,1,1,38.1,27264,0,1,0,1,0,0,0,1,709,450,123,275,1209,5,0,3,67,36,237,197,15221,0.148844452
42003561100,1,850,375,0,0,0,0,0,0,0,0,1,52.5,22727,0,0,0,0,0,0,0,0,794,231,153,39,779,2,0,3,27,2,171,199,15221,0.148844452
42003561200,1,1333,583,0,16,1.2,0,0,0,0,0,1,34.8,35667,0,0,0,0,0,0,0,0,857,305,214,83,1169,7,1,17,56,27,195,291,15221,0.148844452
42003561400,1,4239,2304,0,0,0,0,1,0,1,1,1,12.1,51815,0,1,0,1,0,0,0,1,1672,783,805,896,3150,37,1,16,139,90,615,472,15221,0.148844452
