,ProductQuantity,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LowIncomeTracts,TractLOWI,Total_Population,Risk_Level,Shortage_PF
15276,,0.0,0.0,0.0,0.0,954.0,5414.0,0.0,
15277,,0.0,0.0,0.0,0.0,954.0,5414.0,0.0,
15289,,0.0,0.0,0.0,0.0,575.0,5531.0,0.0,
15290,,0.0,0.0,0.0,1.0,366.0,936.0,0.0,
15295,,0.0,0.0,0.0,0.0,712.0,2375.0,0.0,
15310,,0.0,0.0,0.0,0.0,1283.0,4877.0,0.0,
15311,,0.0,0.0,0.0,0.0,4124.0,22540.0,0.0,
15312,,0.0,0.0,0.0,0.0,3247.0,14680.0,0.0,
15313,,0.0,0.0,0.0,0.0,2686.0,9980.0,0.0,
15314,,1.0,1.0,1.0,1.0,4662.0,20625.0,2.0,
15315,,0.0,0.0,0.0,1.0,1662.0,4367.0,0.0,
15316,,0.0,0.0,0.0,0.0,653.0,2943.0,0.0,
15320,,0.0,0.0,0.0,1.0,8401.0,29283.0,0.0,
15321,,0.0,0.0,0.0,0.0,1889.0,11400.0,0.0,
15322,,0.0,0.0,0.0,1.0,4884.0,16203.0,0.0,
15324,,0.0,0.0,0.0,0.0,1157.0,5663.0,0.0,
15325,,0.0,0.0,0.0,0.0,2934.0,10428.0,0.0,
15327,,0.0,0.0,0.0,1.0,1662.0,4367.0,0.0,
15329,,0.0,0.0,0.0,0.0,3273.0,18990.0,0.0,
15330,,0.0,0.0,0.0,0.0,4122.0,35152.0,0.0,
15331,,1.0,1.0,1.0,1.0,1108.0,3717.0,2.0,
15332,,0.0,0.0,0.0,0.0,7229.0,41680.0,0.0,
15333,,0.0,0.0,0.0,1.0,4655.0,15371.0,0.0,
15334,,0.0,0.0,0.0,1.0,2952.0,13260.0,0.0,
15336,,0.0,0.0,0.0,0.0,808.0,3589.0,0.0,
15337,,0.0,0.0,0.0,0.0,2412.0,9857.0,0.0,
15338,,0.0,0.0,0.0,1.0,5167.0,20380.0,0.0,
15339,,0.0,0.0,0.0,0.0,488.0,3168.0,0.0,
15340,,0.0,0.0,0.0,0.0,2274.0,9809.0,0.0,
15342,,0.0,0.0,0.0,0.0,2649.0,13002.0,0.0,
15344,,0.0,0.0,0.0,0.0,4063.0,15408.0,0.0,
15345,,0.0,0.0,0.0,0.0,1564.0,6827.0,0.0,
15346,,0.0,0.0,0.0,0.0,1129.0,4980.0,0.0,
15348,,0.0,0.0,0.0,1.0,1146.0,2524.0,0.0,
15349,,0.0,0.0,0.0,1.0,3605.0,16203.0,0.0,
15350,,0.0,0.0,0.0,0.0,629.0,2524.0,0.0,
15351,,0.0,0.0,0.0,0.0,2215.0,7120.0,0.0,
15352,,0.0,0.0,0.0,0.0,1936.0,7820.0,0.0,
15353,,0.0,0.0,0.0,0.0,1129.0,4980.0,0.0,
15357,,0.0,0.0,0.0,1.0,4080.0,12952.0,0.0,
15358,,0.0,0.0,0.0,0.0,1529.0,4317.0,0.0,
15359,,1.0,1.0,1.0,1.0,2495.0,9061.0,2.0,
15360,,1.0,1.0,1.0,1.0,3550.0,14040.0,2.0,
15361,,0.0,0.0,0.0,0.0,1612.0,7485.0,0.0,
15362,,0.0,0.0,0.0,0.0,1943.0,11836.0,0.0,
15363,,0.0,0.0,0.0,0.0,935.0,6424.0,0.0,
15364,,0.0,0.0,0.0,0.0,2412.0,9857.0,0.0,
15365,,0.0,0.0,0.0,0.0,1507.0,6170.0,0.0,
15366,,0.0,0.0,0.0,0.0,850.0,4461.0,0.0,
15367,,0.0,0.0,0.0,0.0,2454.0,27128.0,0.0,
15368,,0.0,0.0,0.0,1.0,2213.0,5048.0,0.0,
15376,,0.0,0.0,0.0,0.0,3248.0,13191.0,0.0,
15377,,0.0,0.0,0.0,0.0,2073.0,7401.0,0.0,
15378,,0.0,0.0,0.0,0.0,972.0,3422.0,0.0,
15379,,0.0,0.0,0.0,0.0,951.0,4497.0,0.0,
15380,,0.0,0.0,0.0,0.0,1283.0,4877.0,0.0,
15401,,1.0,1.0,1.0,1.0,19322.0,59265.0,2.0,
15410,,1.0,1.0,1.0,1.0,5114.0,17437.0,2.0,
15411,,0.0,0.0,0.0,1.0,923.0,5164.0,0.0,
15413,,0.0,0.0,0.0,1.0,3119.0,11842.0,0.0,
15415,,0.0,0.0,0.0,1.0,1504.0,6390.0,0.0,
15416,,0.0,0.0,0.0,0.0,1181.0,3297.0,0.0,
15420,,1.0,1.0,1.0,1.0,984.0,6390.0,2.0,
15421,,0.0,0.0,0.0,0.0,1260.0,7231.0,0.0,
15422,,0.0,0.0,0.0,1.0,1504.0,6390.0,0.0,
15427,,0.0,0.0,0.0,0.0,2805.0,7056.0,0.0,
15428,,1.0,1.0,1.0,1.0,3407.0,10433.0,2.0,
15429,,0.0,0.0,0.0,0.0,1067.0,2524.0,0.0,
15430,,1.0,1.0,1.0,1.0,655.0,1821.0,2.0,
15432,,0.0,0.0,0.0,0.0,641.0,2983.0,0.0,
15433,,0.0,0.0,0.0,0.0,1615.0,5452.0,0.0,
15434,,1.0,1.0,1.0,1.0,1148.0,4732.0,2.0,
15435,,1.0,1.0,1.0,1.0,2081.0,11034.0,2.0,
15436,,0.0,0.0,0.0,1.0,2354.0,7494.0,0.0,
15437,,0.0,0.0,0.0,1.0,6518.0,27750.0,0.0,
15438,,1.0,1.0,1.0,1.0,2893.0,12179.0,2.0,
15439,,0.0,0.0,0.0,1.0,2427.0,6296.0,0.0,
15440,,0.0,0.0,0.0,0.0,1260.0,7231.0,0.0,
15442,,1.0,1.0,1.0,1.0,3078.0,15590.0,2.0,
15443,,0.0,0.0,0.0,1.0,2515.0,5595.0,0.0,
15444,,1.0,1.0,1.0,1.0,2748.0,8263.0,2.0,
15445,,1.0,1.0,1.0,1.0,3776.0,10839.0,2.0,
15446,,0.0,0.0,0.0,1.0,2382.0,6827.0,0.0,
15447,,0.0,0.0,0.0,0.0,1615.0,5452.0,0.0,
15449,,0.0,0.0,0.0,1.0,1097.0,4644.0,0.0,
15450,,0.0,0.0,0.0,0.0,1615.0,5452.0,0.0,
15451,,0.0,0.0,0.0,1.0,2427.0,6296.0,0.0,
15454,,0.0,0.0,0.0,1.0,2515.0,5595.0,0.0,
15455,,0.0,0.0,0.0,0.0,1373.0,4705.0,0.0,
15456,,1.0,1.0,1.0,1.0,6096.0,18828.0,2.0,
15458,,0.0,0.0,0.0,1.0,2515.0,5595.0,0.0,
15459,,0.0,0.0,0.0,0.0,2122.0,14462.0,0.0,
15460,,0.0,0.0,0.0,1.0,2427.0,6296.0,0.0,
15461,,1.0,1.0,1.0,1.0,8241.0,19714.0,2.0,
15462,,0.0,0.0,0.0,1.0,2382.0,6827.0,0.0,
15463,,1.0,1.0,1.0,1.0,4103.0,18232.0,2.0,
15464,,0.0,0.0,0.0,1.0,3244.0,14058.0,0.0,
15465,,1.0,1.0,1.0,1.0,1268.0,3644.0,2.0,
15466,,0.0,0.0,0.0,0.0,590.0,2810.0,0.0,
15467,,0.0,0.0,0.0,1.0,2427.0,6296.0,0.0,
15468,,1.0,1.0,1.0,1.0,7715.0,28471.0,2.0,
15469,,0.0,0.0,0.0,1.0,3602.0,11928.0,0.0,
15470,,0.0,0.0,0.0,0.0,2122.0,14462.0,0.0,
15472,,0.0,1.0,0.0,1.0,1455.0,3471.0,3.0,
15473,,1.0,1.0,1.0,1.0,3987.0,16374.0,2.0,
15474,,0.0,0.0,0.0,1.0,2427.0,6296.0,0.0,
15476,,0.0,0.0,0.0,1.0,2515.0,5595.0,0.0,
15477,,1.0,1.0,1.0,1.0,1148.0,4732.0,2.0,
15478,,0.0,0.0,0.0,1.0,8157.0,21882.0,0.0,
15480,,0.0,0.0,0.0,1.0,4970.0,19599.0,0.0,
15482,,0.0,0.0,0.0,0.0,1152.0,4550.0,0.0,
15483,,0.0,0.0,0.0,0.0,641.0,2983.0,0.0,
15484,,0.0,0.0,0.0,0.0,538.0,5210.0,0.0,
15485,,0.0,0.0,0.0,1.0,923.0,5164.0,0.0,
15486,,1.0,1.0,1.0,1.0,3763.0,13704.0,2.0,
15488,,0.0,0.0,0.0,1.0,1680.0,7272.0,0.0,
15489,,0.0,0.0,0.0,1.0,2569.0,7832.0,0.0,
15490,,0.0,0.0,0.0,1.0,3602.0,11928.0,0.0,
15492,,0.0,0.0,0.0,0.0,1152.0,4550.0,0.0,
15502,,0.0,0.0,0.0,0.0,2065.0,7400.0,0.0,
15510,,1.0,1.0,1.0,1.0,2377.0,10471.0,2.0,
15520,,0.0,0.0,0.0,1.0,2044.0,6132.0,0.0,
15532,,0.0,0.0,0.0,0.0,1131.0,3171.0,0.0,
15534,,0.0,0.0,0.0,0.0,903.0,3515.0,0.0,
15538,,0.0,0.0,0.0,0.0,903.0,3515.0,0.0,
15540,,0.0,0.0,0.0,1.0,2735.0,13499.0,0.0,
15541,,0.0,0.0,0.0,1.0,5909.0,20671.0,0.0,
15542,,0.0,0.0,0.0,1.0,4570.0,16135.0,0.0,
15544,,0.0,0.0,0.0,1.0,2044.0,6132.0,0.0,
15545,,0.0,0.0,0.0,0.0,903.0,3515.0,0.0,
15546,,0.0,0.0,0.0,1.0,2044.0,6132.0,0.0,
15547,,0.0,0.0,0.0,1.0,2044.0,6132.0,0.0,
15548,,0.0,0.0,0.0,1.0,1096.0,3355.0,0.0,
15549,,0.0,0.0,0.0,0.0,1420.0,5224.0,0.0,
15550,,0.0,0.0,0.0,0.0,903.0,3515.0,0.0,
15551,,0.0,0.0,0.0,1.0,1614.0,8935.0,0.0,
15553,,0.0,0.0,0.0,0.0,903.0,3515.0,0.0,
15555,,0.0,0.0,0.0,0.0,690.0,3044.0,0.0,
15558,,0.0,0.0,0.0,0.0,2034.0,6686.0,0.0,
15559,,0.0,0.0,0.0,0.0,903.0,3515.0,0.0,
15560,,0.0,0.0,0.0,0.0,659.0,2916.0,0.0,
15561,,0.0,0.0,0.0,0.0,690.0,3044.0,0.0,
15562,,0.0,0.0,0.0,0.0,1131.0,3171.0,0.0,
15563,,0.0,0.0,0.0,1.0,5072.0,16579.0,0.0,
15564,,0.0,0.0,0.0,0.0,903.0,3515.0,0.0,
15565,,0.0,0.0,0.0,0.0,1131.0,3171.0,0.0,
15610,,0.0,0.0,0.0,1.0,4263.0,14563.0,0.0,
