zip,ProductQuantity,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LowIncomeTracts,TractLOWI,Total_Population,Shortage_PF
16027,,0,0,0,0,854,4217,
16028,,0,0,0,0,955,3655,
16029,,0,0,0,0,1855,8481,
16030,,0,0,0,0,1374,4961,
16034,,0,0,0,0,1351,5448,
16035,,0,0,0,1,1917,8578,
16038,,0,0,0,1,3291,13539,
16039,,0,1,0,1,1166,2698,
16040,,0,0,0,0,1374,4961,
16041,,0,0,0,0,3634,12412,
16045,,0,1,0,1,4313,16640,
16046,,0,0,0,0,4886,61913,
16048,,0,0,0,0,1374,4961,
16049,,0,0,0,0,3585,13148,
16051,,0,0,0,0,5263,25554,
16052,,0,0,0,0,3458,16434,
16053,,0,0,0,0,3078,21417,
16055,,0,0,0,1,5057,26669,
16056,,0,0,0,0,3100,20894,
16061,,0,0,0,0,3689,15617,
16063,,0,0,0,0,4019,21951,
16066,,0,0,0,0,5378,74231,
16108,,1,1,1,1,1007,2319,
16112,,0,0,0,0,1466,6891,
16116,,1,1,1,1,2927,11971,
16123,,0,0,0,0,1974,7479,
16127,,0,0,0,1,2744,12494,
16136,,0,0,0,0,827,3659,
16140,,0,0,0,0,713,3658,
16142,,0,0,0,0,3971,26375,
16155,,0,0,0,0,713,3658,
16157,,1,1,1,1,6164,23728,
16159,,0,0,0,0,713,3658,
16160,,0,0,0,1,1353,4478,
16172,,0,0,0,0,249,2459,
16210,,0,0,0,1,1576,7310,
16211,,0,0,0,1,2847,5018,
16212,,0,0,0,0,1225,3655,
16218,,0,0,0,1,3239,14620,
16222,,0,0,0,1,6242,12328,
16224,,0,0,0,1,1728,3655,
16226,,1,1,1,1,5498,18275,
16228,,0,0,0,1,1384,3655,
16236,,1,1,1,1,2851,7310,
16238,,0,0,0,1,1384,3655,
16240,,0,0,0,1,1728,3655,
16242,,0,0,0,1,3140,10965,
16244,,0,0,0,1,1667,3655,
16245,,0,0,0,1,1728,3655,
16246,,0,0,0,1,2847,5018,
16249,,0,0,0,1,2603,7310,
16250,,0,0,0,1,1667,3655,
16253,,0,0,0,1,1728,3655,
16256,,0,0,0,1,4782,9374,
16259,,0,0,0,1,3140,10965,
16262,,0,0,0,1,3918,14620,
16263,,0,0,0,1,1667,3655,
16373,,0,0,0,0,2630,9493,
16601,,0,0,0,0,1657,6437,
16613,,0,0,0,0,3373,14279,
16619,,0,0,0,1,1014,2577,
16624,,0,0,0,0,2279,10235,
16627,,0,0,0,1,1014,2577,
16629,,0,0,0,0,1094,4044,
16630,,0,0,0,0,3078,14208,
16635,,0,0,0,0,1362,6366,
16636,,0,0,0,1,3765,13058,
16639,,0,0,0,1,2671,9014,
16640,,0,0,0,1,2671,9014,
16641,,0,0,0,0,1716,7842,
16644,,0,0,0,1,1014,2577,
16668,,0,0,0,1,4215,17104,
16675,,0,0,0,0,1657,6437,
